CustomerID,SimilarCustomers
C0001,"[['C0069', 0.9953321867302936], ['C0192', 0.9909695103003071], ['C0091', 0.9896062425348366]]"
C0002,"[['C0029', 0.9995536482486179], ['C0134', 0.9960912711988681], ['C0103', 0.9951899804719746]]"
C0003,"[['C0052', 0.9936243420052332], ['C0031', 0.9875009407825365], ['C0178', 0.9857684539204712]]"
C0004,"[['C0173', 0.999005177210335], ['C0165', 0.9968087134211594], ['C0175', 0.9951634680857457]]"
C0005,"[['C0112', 0.9996001554903146], ['C0007', 0.9956372796409025], ['C0192', 0.9930932719322502]]"
C0006,"[['C0085', 0.993228773741814], ['C0117', 0.9901643626791473], ['C0044', 0.9858188994181728]]"
C0007,"[['C0005', 0.9956372796409025], ['C0112', 0.9940415570354068], ['C0120', 0.9939745494419261]]"
C0008,"[['C0124', 0.9661142335167779], ['C0065', 0.9550790101888849], ['C0012', 0.9544798946864429]]"
C0009,"[['C0077', 0.998729959928862], ['C0010', 0.9818037829133764], ['C0088', 0.9798464581303693]]"
C0010,"[['C0062', 0.9943157602913131], ['C0103', 0.9917153307044907], ['C0106', 0.9912795272760195]]"
C0011,"[['C0023', 0.9980802383133908], ['C0153', 0.9953966403091715], ['C0193', 0.9951209871594805]]"
C0012,"[['C0124', 0.9952254091571784], ['C0195', 0.9945601954857501], ['C0059', 0.9935289848653964]]"
C0013,"[['C0143', 0.999978746598693], ['C0022', 0.9847469888934375], ['C0016', 0.9824959668653538]]"
C0014,"[['C0151', 0.9879439604053412], ['C0097', 0.9768928963737414], ['C0128', 0.9475865019696263]]"
C0015,"[['C0123', 0.9953166529363455], ['C0074', 0.9930623132741442], ['C0193', 0.9740419002883668]]"
C0016,"[['C0183', 0.9996400288501798], ['C0092', 0.9941554092559228], ['C0022', 0.9939314977309145]]"
C0017,"[['C0075', 0.9992558495616901], ['C0021', 0.998083726948834], ['C0090', 0.9954514012879261]]"
C0018,"[['C0117', 0.9889095376377188], ['C0006', 0.9858137028167203], ['C0137', 0.9841108317352286]]"
C0019,"[['C0017', 0.9881839610310328], ['C0075', 0.9849437767031793], ['C0175', 0.9830421030280891]]"
C0020,"[['C0115', 0.9739487953377522], ['C0066', 0.9604339381773488], ['C0050', 0.9576752991458674]]"
